product_id,variation_id,name,url,weight,depth,width,height,meta_title,meta_description,meta_keywords,tags,description,short_description,ncm,images,price,price_compare,model,gender,age_group,warranty,active,brand,category_1,category_2,category_3,reference,gtin,mpn,stock,color,variation,variation_price,sku
,,Borracha Pata.,,,,,,,,,,,,,,12.00,,,,,,,,,,,,,,5,,,,
,,Réguas Boneca e Gato.,,,,,,,,,,,,,,15.00,,,,,,,,,,,,,,3,,,,
,,Borracha Capivara.,,,,,,,,,,,,,,5.00,,,,,,,,,,,,,,5,,,,
,,Caneta em Gel Bolinha Color.,,,,,,,,,,,,,,9.00,,,,,,,,,,,,,,11,,,,
,,Caderno Inteligente.,,,,,,,,,,,,,,84.00,,,,,,,,,,,,,,9,,,,
,,Mini Bloco Sanrio c Espiral.,,,,,,,,,,,,,,25.00,,,,,,,,,,,,,,7,,,,
,,Caneta Colorir 12 Cores.,,,,,,,,,,,,,,20.00,,,,,,,,,,,,,,12,,,,
,,Caneta Super Heroi.,,,,,,,,,,,,,,18.00,,,,,,,,,,,,,,3,,,,
,,Caneta Luxo Dino.,,,,,,,,,,,,,,20.00,,,,,,,,,,,,,,8,,,,
,,Caneta Dino Led.,,,,,,,,,,,,,,18.00,,,,,,,,,,,,,,12,,,,
,,Estojo Box Retrô Espaço Azul,,,,,,,,,,,,,,70.00,,,,,,,,,,,,,,3,,,,
,,Estojo Box Retrô Espaço Rosa,,,,,,,,,,,,,,70.00,,,,,,,,,,,,,,1,,,,
,,Cola Branca líquida Max Cola 40g,,,,,,,,,,,,,,6.00,,,,,,,,,,,,,,4,,,,
,,Cola Bastao Leo e Leo,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,
,,Cadernos Felpufos.,,,,,,,,,,,,,,70.00,,,,,,,,,,,,,,5,,,,
,,Mini Mochila Stitch.,,,,,,,,,,,,,,75.00,,,,,,,,,,,,,,4,,,,
,,Caneta Pena Stitch,,,,,,,,,,,,,,24.00,,,,,,,,,,,,,,13,,,,
,,Caneta Stitch Preta Varias C.,,,,,,,,,,,,,,18.00,,,,,,,,,,,,,,5,,,,
,,Caneta Stitch Gel 0.5 Fininha.,,,,,,,,,,,,,,13.00,,,,,,,,,,,,,,12,,,,
,,Caneta Stitch Gel 0.5 Metaliza.,,,,,,,,,,,,,,18.00,,,,,,,,,,,,,,6,,,,
,,Guache c 6 Cores 15 ml Dac.,,,,,,,,,,,,,,13.00,,,,,,,,,,,,,,3,,,,
,,Estojo c divisor Leo e Leo.,,,,,,,,,,,,,,25.00,,,,,,,,,,,,,,8,,,,
,,Copo c Gancho 350 ml Hello Kitty,,,,,,,,,,,,,,22.00,,,,,,,,,,,,,,3,,,,
,,Impressoras Portable Mini Printer,,,,,,,,,,,,,,210.00,,,,,,,,,,,,,,5,,,,
,,Impressora Portable Mini Dino.,,,,,,,,,,,,,,210.00,,,,,,,,,,,,,,2,,,,
,,Prancheta.,,,,,,,,,,,,,,35.00,,,,,,,,,,,,,,4,,,,
,,Prancheta Capivara.,,,,,,,,,,,,,,50.00,,,,,,,,,,,,,,6,,,,
,,Cola Branca Liq 40g Maxi Cola.,,,,,,,,,,,,,,6.00,,,,,,,,,,,,,,4,,,,
,,Apontador My Melody.,,,,,,,,,,,,,,20.00,,,,,,,,,,,,,,15,,,,
,,Apontador Sanrio.,,,,,,,,,,,,,,20.00,,,,,,,,,,,,,,24,,,,
,,Corretivo Kuromi.,,,,,,,,,,,,,,30.00,,,,,,,,,,,,,,4,,,,
,,Corretivo Tape My Melody.,,,,,,,,,,,,,,10.00,,,,,,,,,,,,,,3,,,,
,,Corretivo Tape Hello Kitty  Peq.,,,,,,,,,,,,,,10.00,,,,,,,,,,,,,,3,,,,
,,Corretivo Tape H. Kitty.,,,,,,,,,,,,,,15.00,,,,,,,,,,,,,,12,,,,
,,Corretivo Hello Kitty,,,,,,,,,,,,,,30.00,,,,,,,,,,,,,,7,,,,
,,Kit c 10 Carimbos My Melody.,,,,,,,,,,,,,,50.00,,,,,,,,,,,,,,1,,,,
,,My Melody,,,,,,,,,,,,,,,,,,,,,,,,,,,,2Carimbo,,,,
,,Sapo,,,,,,,,,,,,,,,,,,,,,,,,,,,,1Carimbo,,,,
,,Cinamorol,,,,,,,,,,,,,,,,,,,,,,,,,,,,2Carimbo,,,,
